label,concurrency,worker,session_id,variant,call_index,kind,prompt_tokens,reuse_tokens,output_tokens,t_start_s,ttft_ms,e2e_ms,itl_ms_mean,server_prompt_tokens,server_output_tokens,server_cached_tokens,error
prefix-cache-off/full,2,1,pilot-noguard-full-t1/daterange-inclusive__jHHCt6Y,full,11,agent,2722,2434,71,37.582145066000066,1562.0997600000237,6984.683215000018,77.45693935714338,2722,71,,
prefix-cache-off/full,2,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,13,agent,2799,2662,39,42.587217579000026,1663.8192149999895,4537.286296999923,75.59833607894605,2799,39,,
prefix-cache-off/full,2,1,pilot-noguard-full-t1/daterange-inclusive__jHHCt6Y,full,12,agent,2817,2718,29,44.96364183700007,1669.9472840000453,2601.827653999976,33.26733410714106,2817,29,,
prefix-cache-off/full,2,1,pilot-noguard-full-t1/daterange-inclusive__jHHCt6Y,full,13,agent,2882,2813,15,47.97155692900003,3074.177105999979,3590.5436549999195,36.82967242856908,2882,15,,
prefix-cache-off/full,2,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,14,agent,2932,2795,39,47.582046838999986,1763.3234669999638,4688.281014999916,76.95745271052458,2932,39,,
prefix-cache-off/full,2,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,15,agent,3065,2928,39,52.76985622699999,1897.0748049999884,3093.308927999942,31.463206105262255,3065,39,,
prefix-cache-off/full,2,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,16,agent,3198,3061,39,56.405266686000004,2022.9198020000467,3204.183429000068,31.07558381578943,3198,39,,
prefix-cache-off/full,2,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,17,agent,3331,3194,39,60.10412531400004,2208.260731999985,3393.711424000003,31.18011665789386,3331,39,,
prefix-cache-off/full,2,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,18,agent,3464,3327,39,64.06971688500005,2352.4770650000164,3524.7822970000016,30.839026947370186,3464,39,,
prefix-cache-off/full,2,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,19,agent,3597,3460,39,68.11882245599998,2515.279071000009,3735.9927520000156,32.10761276315716,3597,39,,
prefix-cache-off/full,2,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,20,agent,3730,3593,39,72.47050766100006,2663.174611000045,3854.6369599999935,31.342513526316164,3730,39,,
prefix-cache-off/full,2,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,21,agent,3863,3726,39,76.95391911500008,2838.247872000011,4019.6552610000253,31.919501567567504,3863,39,,
prefix-cache-off/full,2,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,22,agent,3996,3859,39,81.52422504700007,3036.988527999938,4214.815785000042,30.980055447370983,3996,39,,
prefix-cache-off/full,2,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,23,agent,4129,3992,39,86.29360784400001,3283.3960570000045,4459.077073000003,30.92418623684149,4129,39,,
prefix-cache-off/full,2,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,24,agent,4262,4125,39,91.27210016000004,3506.923123999968,4786.334193000016,33.65305931579075,4262,39,,
prefix-cache-off/full,2,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,25,agent,4395,4258,39,96.76801887600004,3687.09551500001,4918.7743429999955,32.402297526316126,4395,39,,
prefix-cache-off/full,2,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,26,agent,4528,4391,39,102.12984216000007,3852.671005999923,5094.700283999941,32.67392878947368,4528,39,,
prefix-cache-off/full,2,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,27,agent,4661,4524,39,107.67437528699998,4059.80531900002,5287.541153999996,32.29782794736773,4661,39,,
prefix-cache-off/full,2,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,28,agent,4794,4657,39,113.38716957999998,4291.968812999926,5566.356523999957,33.52520105263286,4794,39,,
prefix-cache-off/full,2,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,29,agent,4927,4790,39,119.52768481700002,4453.184126999986,5709.377458000063,33.04692839473869,4927,39,,
